,title,description,release_date,tags,rating
0,Побег из Шоушенка,"""Побег из Шоушенка"" - фильм, который считается одним из лучших в истории кино. Режиссером выступил Фрэнк Дарабонт, а в главных ролях снялись Тим Роббинс и Морган Фриман. Фильм основан на рассказе Стивена Кинга и повествует о бухгалтере Энди Дюфрейне, который осужден за убийство жены и ее любовника. Он отправляется в тюрьму Шоушенк, где сталкивается со многими трудностями и проблемами, но не теряет надежды на свободу. ""Побег из Шоушенка"" провалился в мировом прокате, был номинирован на несколько премий ""Оскар"", включая лучший фильм, лучшую режиссуру и лучший сценарий, но не получил ни одной премии. Однако с течением времени фильм ""Побег из Шоушенка"" стал считаться классикой кинематографа и завоевал множество наград и признаний. В целом, ""Побег из Шоушенка"" - потрясающий фильм, который оставит незабываемые впечатления у зрителя. Фильм заслуженно стал классикой кинематографа и продолжает радовать зрителей своей глубиной.",06.01.1995,драма,9.44/10
1,Крестный отец,"Фильм, ставший классикой своего жанра, рассказывающий историю влиятельного нью-йоркского мафиозного клана Корлеоне.",24.03.1972,"драма, триллер",9.11/10
2,Темный рыцарь,"Бэтман вершит правосудие в Готэме. Его партнерами становятся инспектор полиции Гордон и новый окружной прокурор Харви Дент. Это трио готово искоренить преступность в городе, однако появление нового безжалостного преступника по кличке Джокер может свести все их усилия на нет.",12.08.2008,"боевик, драма, кинокомикс, криминал, триллер",9.12/10
3,Крестный отец 2,"Продолжение эпохальной саги режиссера Френсиса Форда Копполы о развитии мафии в Америке. На этот раз он рассказывает о новом поколении гангстеров - отце (дон Корлеоне) и сыне, которые превращают мафию, построенную по старым сицилицийским законам, в новую жестскую и жестокую структуру, внедрившуюся в большой бизнес Америки.",12.12.1974,"драма, криминал",8.88/10
4,12 разгневанных мужчин,"Один из 12 присяжных  в деле об убийстве пытается убедить остальных присяжных в том, что в деле, по  которому им предстоит вынести решение все совсем не так просто, как кажется на  первый взгляд. ",29.07.1957,"детектив, драма",9.15/10
5,Список Шиндлера,"Немецкий фабрикант и член нацистской партии Оскар Шиндлер использует труд евреев, чтобы построить свою новую фабрику в Польше во время Второй мировой войны. Он не остался безучастным к тем ужасам, что творили нацисты с евреями и спас их больше тысячи от участи быть умертвщленными в газовой камере в концентрационном лагере в Освенциме.",30.11.1993,"биографический, военный, драма, исторический",9.19/10
6,Властелин колец 3: Возвращение Короля,"Близится последняя битва за Средиземье. На пути войск Саурона стоит лишь королевство Гондор, которым управляет выживший из ума наместник Денетор. Силы хранителя кольца иссякают по мере продвижения к Мордору. Еще чуть-чуть и мир будет повержен во тьму.",17.12.2003,"боевик, приключения, фэнтези",9.48/10
7,Криминальное чтиво,"Три истории из жизни двух бандитов - Винсента Вега и Джулса Винфилда, работающих на Марселласа Уоллеса - одного из преступных боссов Лос-Анджелеса.",23.09.1994,"драма, криминал",8.94/10
8,Властелин колец: Братство кольца,"Поиски великого кольца Саурона завершены. Оно попало в руки хоббитов из Шира, и только от их решимости и стойкости зависит судьба Средиземья. Фродо Бэгинс во главе Братства Кольца отправляется в Мордор, дабы уничтожить кольцо в горниле Роковой горы.",19.12.2001,"боевик, приключения, фэнтези",9.33/10
9,"Хороший, плохой, злой","Действие происходит в разгар гражданской войны в Америке. Одинокий стрелок скитается по стране, не имея ни дома ни друзей, пока не встречает двух таких же как он искателей приключений. Втроем они объединяют свои усилия, чтобы найти украденное золото. Несмотря на общую цель, каждый из них понимает, что доверять нельзя никому, кроме как своему верному револьверу.",23.12.1966,"боевик, вестерн, приключения",8.96/10
10,Форрест Гамп,"Форресту Гампу - умственно отсталому человеку с добрым сердцем - удается добиться в жизни многого: стать звездой американского футбола, героем вьетнамской войны и даже миллиардером.Почти во всех сценах, где Форрест бегает, Тома Хэнкса дублировал его младший брат Джим.",23.06.1994,"драма, комедия, мелодрама",9.40/10
11,Властелин колец 2: Две крепости,"Братство кольца распалось. Фродо и Сэм продолжают свой путь в Мордор, следуя за Горлумом. Арагорн, Леголас и Гимли отправляются на поиски Мэри и Пипина, захваченных урукхаями. Им придется вступить в битву с полчищами Саурона, стремящимися уничтожить королевство людей Рохан.",05.12.2002,"боевик, приключения, фэнтези",9.39/10
12,Бойцовский клуб,"Обычный клерк, угнетенный своей обыденной жизнью, и торговец, со своим пониманием морали, сталкиваются лицом к лицу в обычной уличной драке. Последующий бой наводит их на мысль, что надо создать клуб для мужчин, которые хотят найти смысл в обычной потасовке... Но только ли для этого?",15.10.2009,"драма, криминал, триллер",8.90/10
13,Начало,"В мире будущего, где существуют технологии, позволяющие проникать в подсознание спящих людей, выкрадывая их идеи, лучший в своем деле вор должен попытаться совершить то, что до сих пор считалось невозможным – не извлечь идею, а внедрить ее.",14.07.2010,"боевик, триллер, фантастика",9.04/10
14,Звездные войны: Эпизод 5 - Империя наносит ответный удар,"В Галактике идет война. Имперские войска находят базу повстанцев и уничтожают ее. Друзьям приходится расстаться. Люк Скайуокер летит на практически необитаемую планету Дагоба с дикой растительностью, где встречает мастера Джедаев - Йоду, который обучает его навыкам таинственной Силы. Хан Соло и принцесса Лея прячутся в Заоблачном Городе, но попадают в ловушку, устроенную Дартом Вейдером - правой рукой могущественного Императора. Люк бросает обучение и летит на помощь друзьям...",21.05.1980,"боевик, приключения, фантастика, фэнтези",8.98/10
15,Матрица,"Он жил своими серыми буднями, он был очень талантливым программистом. Пока однажды не встретил человека, который назвал себя Морфиусом и предложил ему увидеть настоящий мир. Он согласился.Земля, скрытая за толстым слоем облаков, покрытая умными машинами, качающими из людей энергию, дающими в обмен на силу, каждому человеку иллюзию существования привычного реально мира.Он больше не обычный программист, теперь его зовут Нео. Все окружающие уверены в том, что он - избранный. Он в этом сомневается, он пока не верит в свои силы. Пока... ",31.03.1999,"боевик, приключения, триллер, фантастика",9.20/10
16,Славные парни,"Начинающий молодой гангстер Генри Хилл со своими двумя закадычными друзьями Томми Де Вито и Джими Конвеем, работают на мафию, постепенно поднимаясь вверх по своеобразной служебной лестнице. Через какое-то время Генри, получив уважение и почитание, решает заработать легкие деньги и без одобрения клана начинает заниматься наркобизнесом. Но возмездие неотвратимо настигает его, и чтобы выйти сухим из воды ему надо предать своих друзей...",12.09.1990,"биографический, драма, криминал",8.74/10
17,Пролетая над гнездом кукушки,"Один бродяга решил отдохнуть за государственный счет и, симулируя безумие, попал в психиатрическую лечебницу. Здесь он решил ввести свои правила жизни пациентов, что вошло в конфликт с официальными порядками в больнице. Этот конфликт привел к тому, что его стали лечить от излишней независимости и непоседливости, в результате чего он действительно стал сумасшедшим. Теперь ему не надо притворяться, чтобы находится здесь.",19.11.1975,драма,9.08/10
18,Интерстеллар,Земля изживает себя и человечество должно искать для себя новый дом.  Для этих целей команда исследователей держит путь к далеким звездам. ,06.11.2014,"детектив, приключения, фантастика",8.71/10
19,Семь,"Двое полицейских расследуют дело серийного убийцы, который действует хитро и предельно жестоко, наказывая каждую жертву за один из семи смертных грехов.",22.09.1995,"детектив, драма, криминал, триллер",8.88/10
20,Эта замечательная жизнь,"Ангел помогает положительному во всех отношениях бизнесмену, который окончательно разочаровался в жизни, справиться с навалившейся на него депрессией, демонстрируя ему, какой бы была жизнь, если бы он никогда не существовал.",07.01.1947,"драма, мелодрама, фэнтези",8.35/10
21,Семь самураев,"Исторический фильм, действие которого происходит в средневековой Японии, раздираемой гражданской войной. Жители одного селения для своей защиты нанимают семерых самураев, которые сражаются с разбойниками, нападающих на этот городок.",26.04.1954,"боевик, драма, приключения",8.97/10
22,Молчание ягнят,"Клариссе Стерлинг, молодому агенту ФБР, поручено расследование запутанного дела. Ей нужно раскрыть серийного убийцу, похищающего женщин и жестоко их мучающего. Помочь ей может один из заключенных: доктор психиатрии Ганнибал Лектор, осужденный за убийства и каннибализм. У Клариссы свои вопросы к заключенному, но и у него есть вопросы к неожиданной посетительнице. Сложная и опасная психологическая игра разворачивается между агентом ФБР и убийцей.",14.03.1991,"детектив, драма, криминал, триллер",9.08/10
23,Спасти рядового Райана,"Вторая Мировая Война. Одна женщина теряет троих своих сыновей, но один - четвертый - остался жив. Генерал Маршал решает найти его и вернуть к матери. Но он находится в очень опасном регионе и, скорее всего, тоже погиб. Однако, 8 человек отправляются на его поиски. Сколько из них доберутся живыми до пункта назначения?Продолжительность: 170 мин. ",24.07.1998,"боевик, военный, драма",8.94/10
24,Город Бога,"Город Бога - нищий квартал Рио-де-Жанейро. Лучше там не появляться. Взрослые, дети - там каждый живет по закону ""Выстрели первым и у тебя появится шанс выжить"". Мальчики росли в 60-е годы. На их глазах, их старшие братья грабили и убивали. Дети все запомнили. Спустя несколько лет они уже самостоятельно организовывали свои банды и вели свои войны. Они жили насилием, они держали всех в страхе. Оружие, наркотики, пытки и мечты о светлом будущем.",30.08.2002,"драма, криминал, триллер",8.41/10
25,Жизнь прекрасна,"Вторая мировая война. Италия.Фашисты арестовывают всех евреев и отправляют их в концлагерь, откуда выйти живым практически невозможно. Туда попадают отец с маленьким сыном. Жена, не смотря на то, что она по происхождению итальянка и арест ей не грозил, добровольно отправляется следом за ними.Чтобы спасти сына, отец рассказывает ему, что все происходящее - большая и увлекательная игра в борьбе за главный приз - настоящий танк, а победить может только тот мальчик, который ни разу не попадется на глаза местным надзирателям...",20.12.1997,"военный, драма, комедия, мелодрама",8.91/10
26,Зеленая миля,"Чернокожий осужденный Джон Коффи (Майкл Кларк Дункан) умеет исцелять людей простым прикосновением рук. Бог даровал ему чувствовать всю боль мира, как физическую, так и душевную. И Коффи способен лечить, забирать и передавать плохую энергию, воскрешать умерших.Приехав как-то на съмочную площадку, Стивен Кинг решил посидеть на электрическом стуле. Его привязали как положено и на голову надели колпак. Даже несмотря на то, что стул был бутафорским, Кинг запаниковал и попросил немедленно его освободить.",10.12.1999,"драма, криминал, фэнтези",9.18/10
